"","Year","laPTSperMake","laPTSperPoss","laORBrate","laDRBrate","la3P.","la2P.","laFT.","laFG.","laPTSperM","laTRBperM","laDRBperM","laORBperM","laASTperM","laSTLperM","laBLKperM","laTOVperM"
"1","1949-1950",2,NA,NA,NA,NA,0.33992728609653,0.713563113212343,0.33992728609653,NA,NA,NA,NA,NA,NA,NA,NA
"2","1950-1951",2,NA,NA,NA,NA,0.357747102446121,0.732626433836572,0.357747102446121,NA,NA,NA,NA,NA,NA,NA,NA
"3","1951-1952",2,NA,NA,NA,NA,0.368328713288186,0.735649040475991,0.368328713288186,0.306287030941409,0.174547762615043,NA,NA,0.0780324505983844,NA,NA,NA
"4","1952-1953",2,NA,NA,NA,NA,0.369739251765937,0.716522318454364,0.369739251765937,0.30064308681672,0.162148337595908,NA,NA,0.0746382330540746,NA,NA,NA
"5","1953-1954",2,NA,NA,NA,NA,0.373401534526854,0.70940023317069,0.373401534526854,0.295216974035743,0.176030899793276,NA,NA,0.0712711920311366,NA,NA,NA
"6","1954-1955",2,NA,NA,NA,NA,0.383761671527892,0.738493264885262,0.383761671527892,0.357746478873239,0.211920529801325,NA,NA,0.0843230403800475,NA,NA,NA
"7","1955-1956",2,NA,NA,NA,NA,0.38633263053454,0.744222400608391,0.38633263053454,0.375,0.221176314391928,NA,NA,0.0868475746706446,NA,NA,NA
"8","1956-1957",2,NA,NA,NA,NA,0.379727424662727,0.749306686622353,0.379727424662727,0.373950779421002,0.216502812212026,NA,NA,0.0680468341182627,NA,NA,NA
"9","1957-1958",2,NA,NA,NA,NA,0.382195789071942,0.746285666047611,0.382195789071942,0.380952380952381,0.25,NA,NA,0.0669291338582677,NA,NA,NA
"10","1958-1959",2,NA,NA,NA,NA,0.395000943811741,0.758065229897774,0.395000943811741,0.402561556524656,0.246073885468834,NA,NA,0.073397913561848,NA,NA,NA
"11","1959-1960",2,NA,NA,NA,NA,0.408884473460119,0.736444156405271,0.408884473460119,0.402837754472548,0.236111111111111,NA,NA,0.0759803921568627,NA,NA,NA
