,abb,name,modern,city
1,PHW,Philadelphia Warriors,0,-1
2,SFW,San Francisco Warriors,0,-1
3,DEN,Denver Nuggets,1,Denver
4,GSW,Golden State Warriors,1,Golden State
5,PHI,Philadelphia 76ers,1,Philadelphia
6,HOU,Houston Rockets,1,Houston
7,CHI,Chicago Bulls,1,Chicago
8,MIL,Milwaukee Bucks,1,Milwaukee
9,DAL,Dallas Mavericks,1,Dallas
10,OKC,Oklahoma City Thunder,1,Oklahoma City
11,CIN,Cincinnati Royals,0,-1
12,ORL,Orlando Magic,1,Orlando
13,KCO,Kansas City-Omaha Kings,0,-1
14,CLE,Cleveland Cavaliers,1,Cleveland
15,LAL,Los Angeles Lakers,1,LA Lakers
16,BUF,Buffalo Braves,0,-1
17,MIA,Miami Heat,1,Miami
18,BOS,Boston Celtics,1,Boston
19,POR,Portland Trail Blazers,1,Portland
20,UTA,Utah Jazz,1,Utah
21,SAS,San Antonio Spurs,1,San Antonio
22,ATL,Atlanta Hawks,1,Atlanta
23,NOH,New Orleans Hornets,0,-1
24,BRK,Brooklyn Nets,1,Brooklyn
25,NOP,New Orleans Pelicans,1,New Orleans
26,MIN,Minnesota Timberwolves,1,Minnesota
27,CHP,Chicago Packers,0,-1
28,NYK,New York Knicks,1,New York
29,STL,St. Louis Hawks,0,-1
30,PHO,Phoenix Suns,1,Phoenix
31,LAC,Los Angeles Clippers,1,LA Clippers
32,WAS,Washington Wizards,1,Washington
33,TOR,Toronto Raptors,1,Toronto
34,MEM,Memphis Grizzlies,1,Memphis
35,SAC,Sacramento Kings,1,Sacramento
36,IND,Indiana Pacers,1,Indiana
37,DET,Detroit Pistons,1,Detroit
38,SEA,Seattle SuperSonics,0,-1
39,CHZ,Chicago Zephyrs,0,-1
40,MNL,Minneapolis Lakers,0,-1
41,NJN,New Jersey Nets,0,-1
42,CHO,Charlotte Hornets,1,Charlotte
43,NOJ,New Orleans Jazz,0,-1
44,SDC,San Diego Clippers,0,-1
45,SYR,Syracuse Nationals,0,-1
46,BAL,Baltimore Bullets,0,-1
47,WSB,Washington Bullets,0,-1
48,KCK,Kansas City Kings,0,-1
49,CHH,Charlotte Hornets (Historical),0,-1
50,CHA,Charlotte Bobcats,0,-1
51,MLH,Milwaukee Hawks,0,-1
52,VAN,Vancouver Grizzlies,0,-1
53,NOK,New Orleans/Oklahoma City Hornets,0,-1
54,FTW,Fort Wayne Pistons,0,-1
55,SDR,San Diego Rockets,0,-1
56,BLB,Baltimore Bullets (Historical),0,-1
57,ROC,Rochester Royals,0,-1
58,NYN,New York Nets,0,-1
59,CAP,Capital Bullets,0,-1
60,INO,Indianapolis Olympians,0,-1
61,AND,Anderson Packers,0,-1
62,CHS,Chicago Stags,0,-1
63,STB,St. Louis Bombers,0,-1
64,DNN,Denver Nuggets (Historical),0,-1
65,WAT,Waterloo Hawks,0,-1
66,WSC,Washington Capitols,0,-1
67,TRI,Tri-Cities Blackhawks,0,-1
68,SHE,Sheboygan Red Skins,0,-1
