,Team,Hex
1,MNL,#f9a01b
2,INO,#1d428a
3,AND,#c8102e
4,CHS,#c8102e
5,STB,#e56020
6,SYR,#c8102e
7,NYK,#006bb6
8,DNN,#0e2240
9,FTW,#c8102e
10,PHW,#fec524
11,ROC,#1d1160
12,WAT,#c8102e
13,2TM,#000000
14,BLB,#c8102e
15,WSC,#00471b
16,TRI,#000000
17,SHE,#c8102e
18,BOS,#007a33
19,3TM,#000000
20,MLH,#c8102e
21,STL,#c8102e
22,DET,#c8102e
23,CIN,#1d42ba
24,LAL,#552583
25,CHP,#e31837
26,SFW,#1d428a
27,CHZ,#e31837
28,BAL,#e31837
29,PHI,#006bb6
30,CHI,#ce1141
31,SEA,#00653a
32,SDR,#007a33
33,PHO,#1d1160
34,ATL,#e03a3e
35,MIL,#00471b
36,POR,#e03a3e
37,BUF,#678fdb
38,CLE,#860038
39,HOU,#ce1141
40,GSW,#1d428a
41,KCO,#5a2d81
42,CAP,#c8102e
43,WSB,#c8102e
44,NOJ,#002b5c
45,KCK,#5a2d81
46,DEN,#0e2240
47,IND,#002d62
48,SAS,#c4ced4
49,NYN,#c8102e
50,NJN,#c8102e
51,SDC,#c8102e
52,UTA,#002B5C
53,DAL,#00538c
54,LAC,#c8102e
55,SAC,#5a2d81
56,4TM,#000000
57,CHH,#008080
58,MIA,#98002e
59,MIN,#0c2340
60,ORL,#0077c0
61,TOR,#ce1141
62,VAN,#5D76A9
63,WAS,#002B5C
64,MEM,#5D76A9
65,NOH,#008080
66,CHA,#00788C
67,NOK,#00788C
68,5TM,#000000
69,OKC,#007ac1
70,BRK,#000000
71,NOP,#0c2340
72,CHO,#00788C
