"","G","Date","Year","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","PlusMinus","Player","Hex","X2P","X2PA","laPTSperM","laTRBperM","laDRBperM","laORBperM","laASTperM","laSTLperM","laBLKperM","laTOVperM","laPTSperMake","laPTSperPoss","laORBrate","laDRBrate","la3P.","la2P.","laFT.","X3PAdd","X2PAdd","FTAdd","valueAdd"
"1",1,2009-10-27,"2009","CLE",44.9166666666667,12,22,4,9,10,13,0,4,4,8,2,4,5,4,38,31.2,0,"LeBron James","#860038",8,13,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,0.69901083372586,1.69167028115309,-0.0197341395685167,40.9514146638133
"2",2,2009-10-28,"2009","CLE",39.7833333333333,7,19,1,5,8,14,2,9,11,12,2,0,4,1,23,20.2,2,"LeBron James","#860038",6,14,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,-0.8338828701523,-0.793585851065902,-2.79048291953533,25.4394894303467
"3",3,2009-10-30,"2009","CLE",33.4333333333333,10,18,2,3,2,3,2,7,9,6,1,1,2,1,24,22,17,"LeBron James","#860038",8,15,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,0.89967027790862,0.721158016715105,-0.312246339900427,21.8214181998051
"4",4,2009-10-31,"2009","CLE",37.2333333333333,5,11,0,1,4,6,1,6,7,9,0,0,4,1,14,11.9,19,"LeBron James","#860038",5,10,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,-0.36677657403046,0.14743867781007,-0.624492679800854,6.55528249863569
"5",5,2009-11-03,"2009","CLE",35.9833333333333,7,16,2,7,11,13,3,5,8,6,3,0,4,0,27,24.6,5,"LeBron James","#860038",5,9,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,-0.56743601821322,0.632694810029063,0.980265860431483,28.3097263611755
"6",6,2009-11-05,"2009","CLE",38.2166666666667,9,17,1,4,6,9,0,7,7,6,1,1,3,0,25,20.5,-1,"LeBron James","#860038",8,13,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,-0.46710629612184,1.69167028115309,-0.936739019701281,21.6580504747753
"7",7,2009-11-06,"2009","CLE",35.6166666666667,12,17,2,4,7,9,0,8,8,9,3,0,7,3,33,28.6,8,"LeBron James","#860038",10,13,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,0.53289370387816,3.69167028115309,0.063260980298719,39.0628228631255
"8",8,2009-11-11,"2009","CLE",39.1166666666667,13,23,2,3,8,9,2,6,8,4,1,0,4,2,36,26.9,7,"LeBron James","#860038",11,20,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,0.89967027790862,1.29487735562014,1.06326098029872,32.7775047114473
"9",9,2009-11-12,"2009","CLE",38.8833333333333,8,20,2,4,16,18,1,3,4,7,2,1,2,2,34,28.8,6,"LeBron James","#860038",6,16,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,0.53289370387816,-1.76409811550389,2.12652196059744,38.0287271567518
"10",10,2009-11-14,"2009","CLE",37.55,6,15,0,3,9,12,0,6,6,9,2,1,2,1,21,20.1,6,"LeBron James","#860038",6,12,0.413477594797708,0.170830103201656,0.125162067127321,0.0456680360743348,0.0867805354647438,0.0300725959832577,0.0198718261328723,0.0555694757180982,2.17908224728945,0.941778356490242,0.267330143917469,0.732669856082531,0.36677657403046,0.485256132218993,0.770748779966809,-1.10032972209138,0.176926413372084,-0.248985359601708,21.0031408015709
