"","key","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","AST","PF","PTS","Awards"
"1","mikange01",1950,"George Mikan",25,"MNL","C",68,649,1595,0.407,649,1595,0.407,0.407,567,728,0.779,197,297,1865,"NBA1"
"2","grozaal01",1950,"Alex Groza",23,"INO","",64,521,1090,0.478,521,1090,0.478,0.478,454,623,0.729,162,221,1496,"ROY-1,NBA1"
"3","brianfr01",1950,"Frankie Brian",26,"AND","",64,368,1156,0.318,368,1156,0.318,0.318,402,488,0.824,189,192,1138,"NBA2"
"4","zasloma01",1950,"Max Zaslofsky",24,"CHS","SG",68,397,1132,0.351,397,1132,0.351,0.351,321,381,0.843,155,185,1115,"NBA1"
"5","macaued01",1950,"Ed Macauley",21,"STB","",67,351,882,0.398,351,882,0.398,0.398,379,528,0.718,200,221,1081,""
"6","schaydo01",1950,"Dolph Schayes",21,"SYR","",64,348,903,0.385,348,903,0.385,0.385,376,486,0.774,259,225,1072,"NBA2"
"7","braunca01",1950,"Carl Braun",22,"NYK","",67,373,1024,0.364,373,1024,0.364,0.364,285,374,0.762,247,188,1031,""
"8","sailoke01",1950,"Kenny Sailors",29,"DNN","",57,329,944,0.349,329,944,0.349,0.349,329,456,0.721,229,242,987,""
"9","pollaji01",1950,"Jim Pollard",27,"MNL","SF",66,394,1140,0.346,394,1140,0.346,0.346,185,242,0.764,252,143,973,"NBA1"
"10","schaufr01",1950,"Fred Schaus",24,"FTW","",68,351,996,0.352,351,996,0.352,0.352,270,330,0.818,176,232,972,"NBA2"
"11","fulksjo01",1950,"Joe Fulks",28,"PHW","PF",68,336,1209,0.278,336,1209,0.278,0.278,293,421,0.696,56,240,965,""
"12","beardra01",1950,"Ralph Beard",22,"INO","",60,340,936,0.363,340,936,0.363,0.363,215,282,0.762,233,132,895,"NBA2"
"13","daviebo01",1950,"Bob Davies",30,"ROC","PG",64,317,887,0.357,317,887,0.357,0.357,261,347,0.752,294,187,895,"NBA1"
"14","mehendi01",1950,"Dick Mehen",27,"WAT","PF",62,347,826,0.42,347,826,0.42,0.42,198,281,0.705,191,203,892,""
"15","nichoja01",1950,"Jack Nichols",23,"2TM","PF",67,310,848,0.366,310,848,0.366,0.366,259,344,0.753,142,179,879,""
"16","sadowed01",1950,"Ed Sadowski",32,"2TM","",69,299,922,0.324,299,922,0.324,0.324,274,373,0.735,136,244,872,""
"17","hoffmpa01",1950,"Paul Hoffman",24,"BLB","",60,312,914,0.341,312,914,0.341,0.341,242,364,0.665,161,234,866,""
"18","scolafr01",1950,"Fred Scolari",27,"WSC","PG",66,312,910,0.343,312,910,0.343,0.343,236,287,0.822,175,181,860,""
"19","gardnve01",1950,"Vern Gardner",24,"PHW","SG",63,313,916,0.342,313,916,0.342,0.342,227,296,0.767,119,236,853,""
"20","smawlbe01",1950,"Belus Smawley",31,"STB","SG",61,287,832,0.345,287,832,0.345,0.345,260,314,0.828,215,160,834,""
"21","eddledi01",1950,"Dike Eddleman",27,"TRI","SF",64,332,906,0.366,332,906,0.366,0.366,162,260,0.623,142,254,826,""
"22","ottendo01",1950,"Don Otten",28,"2TM","C",64,242,648,0.373,242,648,0.373,0.373,341,463,0.737,91,246,825,""
"23","gallaha01",1950,"Harry Gallatin",22,"NYK","",68,263,664,0.396,263,664,0.396,0.396,277,366,0.757,56,215,803,""
"24","todormi01",1950,"Mike Todorovich",26,"2TM","",65,263,852,0.309,263,852,0.309,0.309,266,370,0.719,207,230,792,""
"25","mikkeve01",1950,"Vern Mikkelsen",21,"MNL","PF",68,288,722,0.399,288,722,0.399,0.399,215,286,0.752,123,222,791,""
"26","wanzebo01",1950,"Bobby Wanzer",28,"ROC","",67,254,614,0.414,254,614,0.414,0.414,283,351,0.806,214,102,791,""
"27","morrima01",1950,"Max Morris",24,"SHE","",62,252,694,0.363,252,694,0.363,0.363,277,415,0.667,194,172,781,""
"28","boykoha01",1950,"Harry Boykoff",27,"WAT","",61,288,698,0.413,288,698,0.413,0.413,203,262,0.775,149,229,779,""
"29","rochare01",1950,"Red Rocha",26,"STB","C",65,275,679,0.405,275,679,0.405,0.405,220,313,0.703,155,257,770,""
"30","phillan01",1950,"Andy Phillip",27,"CHS","",65,284,814,0.349,284,814,0.349,0.349,190,270,0.704,377,210,758,""
"31","loganjo01",1950,"John Logan",29,"STB","",62,251,759,0.331,251,759,0.331,0.331,253,323,0.783,240,206,755,""
"32","clossbi01",1950,"Bill Closs",28,"AND","SF",64,283,898,0.315,283,898,0.315,0.315,186,259,0.718,160,190,752,""
"33","joneswa01",1950,"Wah Wah Jones",23,"INO","PF",60,264,706,0.374,264,706,0.374,0.374,223,297,0.751,194,241,751,""
"34","brownbo01",1950,"Bob Brown",26,"DNN","",62,276,764,0.361,276,764,0.361,0.361,172,252,0.683,101,269,724,""
"35","crockdi01",1950,"Dillard Crocker",25,"DNN","PF",53,245,840,0.292,245,840,0.292,0.292,233,317,0.735,85,223,723,""
"36","brannbo01",1950,"Bob Brannum",23,"SHE","PF",59,234,718,0.326,234,718,0.326,0.326,245,355,0.69,205,279,713,""
"37","spearod01",1950,"Odie Spears",25,"CHS","SF",68,277,775,0.357,277,775,0.357,0.357,158,230,0.687,159,250,712,""
"38","kubiale01",1950,"Leo Kubiak",22,"WAT","",62,259,794,0.326,259,794,0.326,0.326,192,236,0.814,201,250,710,""
"39","jorgeno01",1950,"Noble Jorgensen",24,"SHE","C",54,218,618,0.353,218,618,0.353,0.353,268,350,0.766,90,201,704,""
"40","hertzso01",1950,"Sonny Hertzberg",27,"BOS","",68,275,865,0.318,275,865,0.318,0.318,143,191,0.749,200,153,693,""
"41","simmoco01",1950,"Connie Simmons",24,"NYK","",60,241,729,0.331,241,729,0.331,0.331,198,299,0.662,102,203,680,""
"42","kinnebo01",1950,"Bob Kinney",29,"BOS","",60,233,621,0.375,233,621,0.375,0.375,201,320,0.628,100,251,667,""
"43","blackch01",1950,"Charlie Black",28,"2TM","",65,226,813,0.278,226,813,0.278,0.278,209,321,0.651,163,273,661,""
"44","halebr01",1950,"Bruce Hale",31,"INO","",64,217,614,0.353,217,614,0.353,0.353,223,285,0.782,226,143,657,""
"45","bovendo01",1950,"Don Boven",24,"WAT","",62,208,558,0.373,208,558,0.373,0.373,240,349,0.688,137,255,656,""
"46","hargijo01",1950,"John Hargis",29,"AND","",60,223,550,0.405,223,550,0.405,0.405,197,277,0.711,102,170,643,""
"47","komenmi01",1950,"Milo Komenich",29,"AND","",64,244,861,0.283,244,861,0.283,0.283,146,250,0.584,124,246,634,""
