"","key","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","mikange01",1951,"George Mikan",26,"MNL","C",68,678,1584,0.428,678,1584,0.428,0.428,576,717,0.803,958,208,308,1932,"AS,NBA1"
"2","grozaal01",1951,"Alex Groza",24,"INO","",66,492,1046,0.47,492,1046,0.47,0.47,445,566,0.786,709,156,237,1429,"AS,NBA1"
"3","macaued01",1951,"Ed Macauley",22,"BOS","",68,459,985,0.466,459,985,0.466,0.466,466,614,0.759,616,252,205,1384,"AS,NBA1"
"4","fulksjo01",1951,"Joe Fulks",29,"PHW","PF",66,429,1358,0.316,429,1358,0.316,0.316,378,442,0.855,523,117,247,1236,"AS,NBA2"
"5","brianfr01",1951,"Frankie Brian",27,"TRI","",68,363,1127,0.322,363,1127,0.322,0.322,418,508,0.823,244,266,215,1144,"AS,NBA2"
"6","arizipa01",1951,"Paul Arizin",22,"PHW","SF",65,352,864,0.407,352,864,0.407,0.407,417,526,0.793,640,138,284,1121,"ROY-1,AS"
"7","schaydo01",1951,"Dolph Schayes",22,"SYR","",66,332,930,0.357,332,930,0.357,0.357,457,608,0.752,1080,251,271,1121,"AS,NBA2"
"8","beardra01",1951,"Ralph Beard",23,"INO","",66,409,1110,0.368,409,1110,0.368,0.368,293,378,0.775,251,318,96,1111,"AS,NBA1"
"9","cousybo01",1951,"Bob Cousy",22,"BOS","PG",69,401,1138,0.352,401,1138,0.352,0.352,276,365,0.756,474,341,185,1078,"AS"
"10","risenar01",1951,"Arnie Risen",26,"ROC","C",66,377,940,0.401,377,940,0.401,0.401,323,440,0.734,795,158,278,1077,""
"11","eddledi01",1951,"Dike Eddleman",28,"TRI","SF",68,398,1120,0.355,398,1120,0.355,0.355,244,349,0.699,410,170,231,1040,"AS"
"12","schaufr01",1951,"Fred Schaus",25,"FTW","",68,312,918,0.34,312,918,0.34,0.34,404,484,0.835,495,184,240,1028,"AS"
"13","borylvi01",1951,"Vince Boryla",23,"NYK","SF",66,352,867,0.406,352,867,0.406,0.406,278,332,0.837,249,182,244,982,"AS"
"14","daviebo01",1951,"Bob Davies",31,"ROC","PG",63,326,877,0.372,326,877,0.372,0.372,303,381,0.795,197,287,208,955,"AS,NBA1"
