"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards"
"1","pettibo01",1956,"Bob Pettit",23,"STL","C",72,2794,646,1507,0.429,557,757,0.736,1164,189,202,1849,0,"MVP-1,AS,NBA1"
"2","arizipa01",1956,"Paul Arizin",27,"PHW","SF",72,2724,617,1378,0.448,507,626,0.81,539,189,282,1741,0,"MVP-2,AS,NBA1"
"3","johnsne01",1956,"Neil Johnston",26,"PHW","C",70,2594,499,1092,0.457,549,685,0.801,872,225,251,1547,0,"AS,NBA1"
"4","lovelcl01",1956,"Clyde Lovellette",26,"MNL","C",71,2518,594,1370,0.434,338,469,0.721,992,164,245,1526,0,"AS,NBA2"
"5","schaydo01",1956,"Dolph Schayes",27,"SYR","PF",72,2517,465,1202,0.387,542,632,0.858,891,200,251,1472,0,"MVP-5,AS,NBA2"
"6","sharmbi01",1956,"Bill Sharman",29,"BOS","SG",72,2698,538,1229,0.438,358,413,0.867,259,339,197,1434,0,"MVP-5,AS,NBA1"
"7","cousybo01",1956,"Bob Cousy",27,"BOS","PG",72,2767,440,1223,0.36,476,564,0.844,492,642,206,1356,8,"MVP-3,AS,NBA1"
"8","macaued01",1956,"Ed Macauley",27,"BOS","C",71,2354,420,995,0.422,400,504,0.794,422,211,158,1240,0,"AS"
"9","yardlge01",1956,"George Yardley",27,"FTW","SF",71,2353,434,1067,0.407,365,492,0.742,686,159,212,1233,0,"AS"
"10","foustla01",1956,"Larry Foust",27,"FTW","C",72,2024,367,821,0.447,432,555,0.778,648,127,263,1166,0,"AS"
"11","stokema01",1956,"Maurice Stokes",22,"ROC","C",67,2323,403,1137,0.354,319,447,0.714,1094,328,276,1125,1,"MVP-7,ROY-1,AS,NBA2"
"12","braunca01",1956,"Carl Braun",28,"NYK","SG",72,2316,396,1064,0.372,320,382,0.838,259,298,215,1112,0,"AS"
"13","twymaja01",1956,"Jack Twyman",21,"ROC","SF",72,2186,417,987,0.422,204,298,0.685,466,171,239,1038,0,""
"14","grabojo01",1956,"Joe Graboski",26,"PHW","PF",72,2375,397,1075,0.369,240,340,0.706,642,190,272,1034,0,""
"15","gallaha01",1956,"Harry Gallatin",28,"NYK","SF",72,2378,322,834,0.386,358,455,0.787,740,168,220,1002,0,"AS"
"16","georgja01",1956,"Jack George",27,"PHW","PG",72,2840,352,940,0.374,296,391,0.757,313,457,202,1000,1,"AS,NBA2"
"17","sharech01",1956,"Chuck Share",28,"STL","C",72,1975,315,733,0.43,346,498,0.695,774,131,318,976,0,""
"18","mikkeve01",1956,"Vern Mikkelsen",27,"MNL","PF",72,2100,317,821,0.386,328,408,0.804,608,173,319,962,0,"AS"
"19","kerrre01",1956,"Red Kerr",23,"SYR","C",72,2114,377,935,0.403,207,316,0.655,607,84,168,961,0,"AS"
"20","colemja01",1956,"Jack Coleman",31,"2TM","PF",75,2738,390,946,0.412,177,249,0.711,688,294,242,957,0,""
"21","martisl01",1956,"Slater Martin",30,"MNL","PG",72,2838,309,863,0.358,329,395,0.833,260,445,202,947,0,"AS,NBA2"
"22","searske01",1956,"Kenny Sears",22,"NYK","PF",70,2069,319,728,0.438,258,324,0.796,616,114,201,896,1,""
"23","flemied01",1956,"Ed Fleming",22,"ROC","SG",71,2028,306,824,0.371,277,372,0.745,489,197,178,889,0,""
"24","felixra01",1956,"Ray Felix",25,"NYK","C",72,1702,277,668,0.415,331,469,0.706,623,47,293,885,0,""
"25","nichoja01",1956,"Jack Nichols",29,"BOS","PF",60,1964,330,799,0.413,200,253,0.791,625,160,228,860,0,""
"26","skoogwh01",1956,"Whitey Skoog",29,"MNL","SG",72,2311,340,854,0.398,155,193,0.803,291,255,232,835,0,""
"27","schnidi01",1956,"Dick Schnittker",27,"MNL","SF",72,1930,254,647,0.393,304,355,0.856,296,142,253,812,0,""
"28","hutchme01",1956,"Mel Hutchins",27,"FTW","PF",66,2240,325,764,0.425,142,221,0.643,496,180,166,792,0,"MVP-4,AS"
"29","houbrbo01",1956,"Bob Houbregs",23,"FTW","C",70,1535,247,575,0.43,283,383,0.739,414,159,147,777,0,""
"30","baechji01",1956,"Jim Baechtold",28,"NYK","SF",70,1738,268,695,0.386,233,291,0.801,220,163,156,769,0,""
"31","wanzebo01",1956,"Bobby Wanzer",34,"ROC","PG",72,1980,245,651,0.376,259,360,0.719,272,225,151,749,0,"AS"
"32","kingge01",1956,"George King",27,"SYR","PG",72,2343,284,763,0.372,176,275,0.64,250,410,150,744,0,""
"33","stephja01",1956,"Jack Stephens",22,"STL","SG",72,2219,248,643,0.386,247,357,0.692,377,207,144,743,0,""
"34","golato01",1956,"Tom Gola",23,"PHW","SG",68,2346,244,592,0.412,244,333,0.733,616,404,272,732,5,"MVP-7"
