"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","akinhe01",1967,"Henry Akin","PF","22","NYK","50","0","453","83","230",".361","","","","83","230",".361",".361","26","37",".703","","","120","25","","","","82","192"
"2","attleal01",1967,"Al Attles*","PG","30","SFW","69","","1764","212","467",".454","","","","212","467",".454",".454","88","151",".583","","","321","269","","","","265","512"
"3","austijo01",1967,"Johnny Austin","SG","22","BAL","4","","61","5","22",".227","","","","5","22",".227",".227","13","16",".813","","","7","4","","","","12","23"
"4","barneji01",1967,"Jim Barnes","PF","25","LAL","80","","1398","217","497",".437","","","","217","497",".437",".437","128","187",".684","","","450","47","","","","266","562"
"5","barnedi01",1967,"Dick Barnett*","SG","30","NYK","67","43","1969","454","949",".478","","","","454","949",".478",".478","231","295",".783","","","226","161","","","","185","1139"
"6","barneji02",1967,"Jim Barnett","SG","22","BOS","48","","383","78","211",".370","","","","78","211",".370",".370","42","62",".677","","","53","41","","","","61","198"
"7","barnhjo01",1967,"John Barnhill","PG","28","BAL","53","","1214","187","447",".418","","","","187","447",".418",".418","66","103",".641","","","157","136","","","","80","440"
"8","barryri01",1967,"Rick Barry*","SF","22","SFW","78","","3175","1011","2240",".451","","","","1011","2240",".451",".451","753","852",".884","","","714","282","","","","258","2775"
"9","bayloel01",1967,"Elgin Baylor*","SF","32","LAL","70","","2706","711","1658",".429","","","","711","1658",".429",".429","440","541",".813","","","898","215","","","","211","1862"
"10","beatyze01",1967,"Zelmo Beaty*","C","27","STL","48","","1661","328","694",".473","","","","328","694",".473",".473","197","260",".758","","","515","60","","","","189","853"
"11","bellawa01",1967,"Walt Bellamy*","C","27","NYK","79","78","3010","565","1084",".521","","","","565","1084",".521",".521","369","580",".636","","","1064","206","","","","275","1499"
"12","bingda01",1967,"Dave Bing*","PG","23","DET","80","","2762","664","1522",".436","","","","664","1522",".436",".436","273","370",".738","","","359","330","","","","217","1601"
