"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","hayesel01",1969,"Elvin Hayes",23,"SDR","C",82,3695,930,2082,0.447,467,746,0.626,1406,113,266,2327,0,"ROY-2,AS",0
"2","monroea01",1969,"Earl Monroe",24,"BAL","SG",80,3075,809,1837,0.44,447,582,0.768,280,392,261,2065,0,"AS,NBA1",0
"3","cunnibi01",1969,"Billy Cunningham",25,"PHI","PF",82,3345,739,1736,0.426,556,754,0.737,1050,287,329,2034,0,"MVP-3,AS,NBA1",0
"4","rulebo01",1969,"Bob Rule",24,"SEA","C",82,3104,776,1655,0.469,413,606,0.682,941,141,322,1965,0,"",0
"5","roberos01",1969,"Oscar Robertson",30,"CIN","PG",79,3461,656,1351,0.486,643,767,0.838,502,772,231,1955,7,"AS,NBA1",0
"6","goodrga01",1969,"Gail Goodrich",25,"PHO","PG",81,3236,718,1746,0.411,495,663,0.747,437,518,253,1931,1,"AS",0
"7","greerha01",1969,"Hal Greer",32,"PHI","SG",82,3311,732,1595,0.459,432,543,0.796,435,414,294,1896,0,"AS,NBA2",0
"8","bayloel01",1969,"Elgin Baylor",34,"LAL","SF",76,3064,730,1632,0.447,421,567,0.743,805,408,204,1881,5,"MVP-5,AS,NBA1",0
"9","wilkele01",1969,"Lenny Wilkens",31,"SEA","PG",82,3463,644,1462,0.44,547,710,0.77,511,674,294,1835,5,"AS",0
"10","kojisdo01",1969,"Don Kojis",30,"SDR","SF",81,3130,687,1582,0.434,446,596,0.748,776,214,303,1820,0,"AS",0
"11","loughke01",1969,"Kevin Loughery",28,"BAL","PG",80,3135,717,1636,0.438,372,463,0.803,266,384,299,1806,0,"",0
"12","bingda01",1969,"Dave Bing",25,"DET","PG",77,3039,678,1594,0.425,444,623,0.713,382,546,256,1800,1,"AS",0
"13","mullije01",1969,"Jeff Mullins",26,"SFW","SG",78,2916,697,1517,0.459,381,452,0.843,460,339,251,1775,0,"AS",0
"14","havlijo01",1969,"John Havlicek",28,"BOS","SG",82,3174,692,1709,0.405,387,496,0.78,570,441,247,1771,0,"AS,NBA2,DEF2",0
"15","hudsolo01",1969,"Lou Hudson",24,"ATL","SF",81,2869,716,1455,0.492,338,435,0.777,533,216,248,1770,0,"AS",0
"16","reedwi01",1969,"Willis Reed",26,"NYK","C",82,3108,704,1351,0.521,325,435,0.747,1191,190,314,1733,0,"MVP-2,AS,NBA2",0
"17","boozebo01",1969,"Bob Boozer",31,"CHI","PF",79,2872,661,1375,0.481,394,489,0.806,614,156,218,1716,0,"",0
"18","vanardi01",1969,"Dick Van Arsdale",25,"PHO","SG",80,3388,612,1386,0.442,454,644,0.705,548,385,245,1678,0,"AS",0
"19","chambwi01",1969,"Wilt Chamberlain",32,"LAL","C",81,3669,641,1099,0.583,382,857,0.446,1712,366,142,1664,4,"AS",0
"20","robinfl01",1969,"Flynn Robinson",27,"2TM","PG",83,2616,625,1442,0.433,412,491,0.839,306,377,261,1662,0,"",0
"21","westje01",1969,"Jerry West",30,"LAL","SG",61,2394,545,1156,0.471,490,597,0.821,262,423,156,1580,0,"AS,NBA2,DEF2",0
"22","mcglojo01",1969,"Jon McGlocklin",25,"MIL","SG",80,2888,662,1358,0.487,246,292,0.842,343,312,186,1570,0,"AS",0
"23","larusru01",1969,"Rudy LaRusso",31,"SFW","SF",75,2782,553,1349,0.41,444,559,0.794,624,159,268,1550,0,"AS,DEF2",0
"24","beatyze01",1969,"Zelmo Beaty",29,"ATL","C",72,2578,588,1251,0.47,370,506,0.731,798,131,272,1546,0,"",0
"25","howelba01",1969,"Bailey Howell",32,"BOS","PF",78,2527,612,1257,0.487,313,426,0.735,685,137,285,1537,0,"",0
