"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards"
"1","abdulka01",1970,"Kareem Abdul-Jabbar",22,"MIL","C",82,NA,3534,938,1810,0.518,485,743,0.653,1190,337,283,2361,0,"MVP-3,ROY-1,AS,NBA2"
"2","westje01",1970,"Jerry West",31,"LAL","PG",74,NA,3106,831,1673,0.497,647,785,0.824,338,554,160,2309,0,"MVP-2,AS,NBA1"
"3","hayesel01",1970,"Elvin Hayes",24,"SDR","C",82,NA,3665,914,2020,0.452,428,622,0.688,1386,162,270,2256,0,"AS"
"4","cunnibi01",1970,"Billy Cunningham",26,"PHI","SF",81,NA,3194,802,1710,0.469,510,700,0.729,1101,352,331,2114,0,"MVP-5,AS,NBA1"
"5","hudsolo01",1970,"Lou Hudson",25,"ATL","SF",80,NA,3091,830,1564,0.531,371,450,0.824,373,276,225,2031,0,"MVP-7,AS,NBA2"
"6","hawkico01",1970,"Connie Hawkins",27,"PHO","SF",81,NA,3312,709,1447,0.49,577,741,0.779,846,391,287,1995,2,"MVP-5,AS,NBA1"
"7","rulebo01",1970,"Bob Rule",25,"SEA","C",80,NA,2959,789,1705,0.463,387,542,0.714,825,144,278,1965,0,"AS"
"8","havlijo01",1970,"John Havlicek",29,"BOS","SG",81,NA,3369,736,1585,0.464,488,578,0.844,635,550,211,1960,8,"MVP-10,AS,NBA2"
"9","monroea01",1970,"Earl Monroe",25,"BAL","PG",82,NA,3051,695,1557,0.446,532,641,0.83,257,402,258,1922,0,"MVP-16"
"10","robinfl01",1970,"Flynn Robinson",28,"MIL","PG",81,NA,2762,663,1391,0.477,439,489,0.898,263,449,254,1765,0,"AS"
"11","greerha01",1970,"Hal Greer",33,"PHI","SG",80,NA,3024,705,1551,0.455,352,432,0.815,376,405,300,1762,0,"AS"
"12","reedwi01",1970,"Willis Reed",27,"NYK","C",81,81,3089,702,1385,0.507,351,464,0.756,1126,161,287,1755,0,"MVP-1,AS,NBA1"
"13","roberos01",1970,"Oscar Robertson",31,"CIN","PG",69,NA,2865,647,1267,0.511,454,561,0.809,422,558,175,1748,6,"MVP-16,AS,NBA2"
"14","caldwjo01",1970,"Joe Caldwell",28,"ATL","SG",82,NA,2857,674,1329,0.507,379,551,0.688,407,287,255,1727,0,"MVP-12,AS"
"15","lovebo01",1970,"Bob Love",27,"CHI","PF",82,NA,3123,640,1373,0.466,442,525,0.842,712,148,260,1722,0,"MVP-16"
"16","walkeji01",1970,"Jimmy Walker",25,"DET","SG",81,NA,2869,666,1394,0.478,355,440,0.807,242,248,203,1687,0,"AS"
"17","walkech01",1970,"Chet Walker",29,"CHI","SF",78,NA,2726,596,1249,0.477,483,568,0.85,604,192,203,1675,0,"AS"
"18","haskicl01",1970,"Clem Haskins",26,"CHI","SG",82,NA,3214,668,1486,0.45,332,424,0.783,378,624,237,1668,1,""
"19","vanardi01",1970,"Dick Van Arsdale",26,"PHO","SG",77,NA,2966,592,1166,0.508,459,575,0.798,264,338,282,1643,0,"AS"
"20","mullije01",1970,"Jeff Mullins",27,"SFW","SG",74,NA,2861,656,1426,0.46,320,378,0.847,382,360,240,1632,0,"AS"
