"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"1","abdulka01",1972,"Kareem Abdul-Jabbar",24,"MIL","C",81,3583,1159,2019,0.574,1159,2019,0.574,0.574,504,732,0.689,1346,370,235,2822,"MVP-1,AS,NBA1"
"2","havlijo01",1972,"John Havlicek",31,"BOS","SF",82,3698,897,1957,0.458,897,1957,0.458,0.458,458,549,0.834,672,614,183,2252,"MVP-4,AS,NBA1"
"3","architi01",1972,"Tiny Archibald",23,"CIN","PG",76,3272,734,1511,0.486,734,1511,0.486,0.486,677,824,0.822,222,701,198,2145,"MVP-15,NBA2"
"4","goodrga01",1972,"Gail Goodrich",28,"LAL","SG",82,3040,826,1695,0.487,826,1695,0.487,0.487,475,559,0.85,295,365,210,2127,"MVP-21,AS"
"5","hayesel01",1972,"Elvin Hayes",26,"HOU","C",82,3461,832,1918,0.434,832,1918,0.434,0.434,399,615,0.649,1197,270,233,2063,"MVP-17,AS"
"6","laniebo01",1972,"Bob Lanier",23,"DET","C",80,3092,834,1690,0.493,834,1690,0.493,0.493,388,505,0.768,1132,248,297,2056,"MVP-9,AS"
"7","lovebo01",1972,"Bob Love",29,"CHI","PF",79,3108,819,1854,0.442,819,1854,0.442,0.442,399,509,0.784,518,125,235,2037,"MVP-6,AS,NBA2"
"8","wickssi01",1972,"Sidney Wicks",22,"POR","PF",82,3245,784,1837,0.427,784,1837,0.427,0.427,441,621,0.71,943,350,186,2009,"MVP-17,ROY-1,AS"
"9","westje01",1972,"Jerry West",33,"LAL","PG",77,2973,735,1540,0.477,735,1540,0.477,0.477,515,633,0.814,327,747,209,1985,"MVP-2,AS,NBA1"
"10","clarkar01",1972,"Archie Clark",30,"2TM","PG",77,3285,712,1516,0.47,712,1516,0.47,0.47,514,667,0.771,268,613,194,1938,"MVP-12,AS,NBA2"
