"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards","Playoffs"
"1","mcadobo01",1974,"Bob McAdoo",22,"BUF","C",74,3185,901,1647,0.547,459,579,0.793,281,836,1117,170,88,246,252,2261,0,"MVP-2,AS,NBA2",0
"2","abdulka01",1974,"Kareem Abdul-Jabbar",26,"MIL","C",81,3548,948,1759,0.539,295,420,0.702,287,891,1178,386,112,283,238,2191,3,"MVP-1,AS,NBA1,DEF1",0
"3","maravpe01",1974,"Pete Maravich",26,"ATL","SG",76,2903,819,1791,0.457,469,568,0.826,98,276,374,396,111,13,261,2107,0,"MVP-17,AS",0
"4","goodrga01",1974,"Gail Goodrich",30,"LAL","SG",82,3061,784,1773,0.442,508,588,0.864,95,155,250,427,126,12,227,2076,0,"AS,NBA1",0
"5","barryri01",1974,"Rick Barry",29,"GSW","SF",80,2918,796,1746,0.456,417,464,0.899,103,437,540,484,169,40,265,2009,0,"MVP-7,AS,NBA1",0
"6","tomjaru01",1974,"Rudy Tomjanovich",25,"HOU","SF",80,3227,788,1470,0.536,385,454,0.848,230,487,717,250,89,66,230,1961,0,"MVP-17,AS",0
"7","laniebo01",1974,"Bob Lanier",25,"DET","C",81,3047,748,1483,0.504,326,409,0.797,269,805,1074,343,110,247,273,1822,3,"MVP-3,AS",0
"8","lovebo01",1974,"Bob Love",31,"CHI","PF",82,3292,731,1752,0.417,323,395,0.818,183,309,492,130,84,28,221,1785,0,"MVP-15,DEF2",0
"9","carrau01",1974,"Austin Carr",25,"CLE","SG",81,3100,748,1682,0.445,279,326,0.856,139,150,289,305,92,14,189,1775,0,"AS",0
"10","petrige01",1974,"Geoff Petrie",25,"POR","PG",73,2800,740,1537,0.481,291,341,0.853,64,144,208,315,84,15,199,1771,0,"AS",0
"11","haywosp01",1974,"Spencer Haywood",24,"SEA","PF",75,3039,694,1520,0.457,373,458,0.814,318,689,1007,240,65,106,198,1761,0,"MVP-17,AS,NBA2",0
"12","hayesel01",1974,"Elvin Hayes",28,"CAP","PF",81,3602,689,1627,0.423,357,495,0.721,354,1109,1463,163,86,240,252,1735,0,"MVP-5,AS,NBA2,DEF2",0
"13","havlijo01",1974,"John Havlicek",33,"BOS","SF",76,3091,685,1502,0.456,346,416,0.832,138,349,487,447,95,32,196,1716,3,"MVP-9,AS,NBA1,DEF1",0
"14","russeca01",1974,"Cazzie Russell",29,"GSW","SF",82,2574,738,1531,0.482,208,249,0.835,142,211,353,192,54,17,194,1684,0,"",0
"15","wickssi01",1974,"Sidney Wicks",24,"POR","PF",75,2853,685,1492,0.459,314,412,0.762,196,488,684,326,90,63,214,1684,2,"AS",0
"16","cheniph01",1974,"Phil Chenier",23,"CAP","SG",76,2942,697,1607,0.434,274,334,0.82,114,274,388,239,155,67,135,1668,0,"MVP-11,AS",0
"17","cartefr01",1974,"Fred Carter",28,"PHI","SG",78,3044,706,1641,0.43,254,358,0.709,82,289,371,443,113,23,276,1666,0,"",0
"18","murphca01",1974,"Calvin Murphy",25,"HOU","PG",81,2922,671,1285,0.522,310,357,0.868,51,137,188,603,157,4,310,1652,0,"",0
"19","hudsolo01",1974,"Lou Hudson",29,"ATL","SF",65,2588,678,1356,0.5,295,353,0.836,126,224,350,213,160,29,205,1651,0,"AS",0
"20","fraziwa01",1974,"Walt Frazier",28,"NYK","PG",80,3338,674,1429,0.472,295,352,0.838,120,416,536,551,161,15,212,1643,2,"MVP-6,AS,NBA1,DEF1",0
"21","walkech01",1974,"Chet Walker",33,"CHI","SF",82,2661,572,1178,0.486,439,502,0.875,131,275,406,200,68,4,201,1583,0,"AS",0
"22","vanarto01",1974,"Tom Van Arsdale",30,"PHI","SF",78,3041,614,1433,0.428,298,350,0.851,88,305,393,202,62,3,300,1526,0,"",0
"23","mcmilji01",1974,"Jim McMillian",25,"BUF","SF",82,3322,600,1214,0.494,325,379,0.858,216,394,610,256,129,26,186,1525,0,"",0
"24","bingda01",1974,"Dave Bing",30,"DET","PG",81,3124,582,1336,0.436,356,438,0.813,108,173,281,555,109,17,216,1520,0,"MVP-11,AS,NBA2",0
"25","cowenda01",1974,"Dave Cowens",25,"BOS","C",80,3352,645,1475,0.437,228,274,0.832,264,993,1257,354,95,101,294,1518,2,"MVP-4,AS",0
"26","whitejo01",1974,"Jo Jo White",27,"BOS","PG",82,3238,649,1445,0.449,190,227,0.837,100,251,351,448,105,25,185,1488,0,"AS",0
"27","walkeji01",1974,"Jimmy Walker",29,"2TM","SG",75,2958,582,1240,0.469,273,333,0.82,39,165,204,307,81,9,170,1437,0,"",0
"28","newlimi01",1974,"Mike Newlin",25,"HOU","SG",76,2591,510,1139,0.448,380,444,0.856,77,185,262,363,87,9,259,1400,0,"",0
"29","vanardi01",1974,"Dick Van Arsdale",30,"PHO","SG",78,2832,514,1028,0.5,361,423,0.853,66,155,221,324,96,17,241,1389,0,"DEF2",0
"30","walkne01",1974,"Neal Walk",25,"PHO","C",82,2549,573,1245,0.46,235,297,0.791,235,602,837,331,73,57,255,1381,0,"",0
"31","brownfr01",1974,"Fred Brown",25,"SEA","SG",82,2501,578,1226,0.471,195,226,0.863,114,287,401,414,136,18,276,1351,0,"",0
"32","dandrbo01",1974,"Bob Dandridge",26,"MIL","SF",71,2521,583,1158,0.503,175,214,0.818,117,362,479,201,111,41,271,1341,0,"",0
"33","snydedi01",1974,"Dick Snyder",29,"SEA","SG",74,2670,572,1189,0.481,194,224,0.866,90,216,306,265,90,26,257,1338,0,"",0
"34","scottch01",1974,"Charlie Scott",25,"PHO","PG",52,2003,538,1171,0.459,246,315,0.781,64,158,222,271,99,22,194,1322,0,"AS",0
"35","riordmi01",1974,"Mike Riordan",28,"CAP","SF",81,3230,577,1223,0.472,136,174,0.782,120,260,380,264,102,14,237,1290,0,"",0
"36","debusda01",1974,"Dave DeBusschere",33,"NYK","PF",71,2699,559,1212,0.461,164,217,0.756,134,623,757,253,67,39,222,1282,0,"MVP-11,AS,DEF1",0
"37","willina01",1974,"Nate Williams",23,"KCO","SF",82,2513,538,1165,0.462,193,236,0.818,118,226,344,182,149,34,290,1269,0,"",0
"38","allenlu01",1974,"Lucius Allen",26,"MIL","PG",72,2388,526,1062,0.495,216,274,0.788,89,202,291,374,137,22,215,1268,0,"MVP-15",0
"39","smithra01",1974,"Randy Smith",25,"BUF","SG",82,2745,531,1079,0.492,205,288,0.712,87,228,315,383,203,4,261,1267,0,"",0
"40","priceji01",1974,"Jim Price",24,"LAL","PG",82,2628,538,1197,0.449,187,234,0.799,120,258,378,369,157,29,229,1263,1,"DEF2",0
"41","mullije01",1974,"Jeff Mullins",31,"GSW","SG",77,2498,541,1144,0.473,168,192,0.875,86,190,276,305,69,22,214,1250,0,"",0
"42","heardga01",1974,"Gar Heard",25,"BUF","PF",81,2889,524,1205,0.435,191,294,0.65,270,677,947,180,136,230,300,1239,0,"",0
"43","digreer01",1974,"Ernie DiGregorio",23,"BUF","PG",81,2910,530,1260,0.421,174,193,0.902,48,171,219,663,59,9,242,1234,0,"ROY-1",0
"44","mixst01",1974,"Steve Mix",26,"PHI","PF",82,2969,495,1042,0.475,228,288,0.792,305,559,864,152,212,37,305,1218,0,"",0
"45","wilkele01",1974,"Lenny Wilkens",36,"CLE","PG",74,2483,462,994,0.465,289,361,0.801,80,197,277,522,97,17,165,1213,0,"",0
"46","smithbi02",1974,"Bingo Smith",27,"CLE","SF",82,2612,536,1179,0.455,139,169,0.822,134,301,435,198,89,30,242,1211,0,"",0
"47","bradlbi01",1974,"Bill Bradley",30,"NYK","SF",82,2813,502,1112,0.451,146,167,0.874,59,194,253,242,42,21,278,1150,0,"",0
"48","vanlino01",1974,"Norm Van Lier",26,"CHI","PG",80,2863,427,1051,0.406,288,370,0.778,114,263,377,548,162,7,282,1142,1,"MVP-9,AS,NBA2,DEF1",0
"49","porteke01",1974,"Kevin Porter",23,"CAP","PG",81,2339,477,997,0.478,180,249,0.723,79,100,179,469,95,9,319,1134,0,"",0
"50","johnsjo01",1974,"John Johnson",26,"POR","SF",69,2287,459,990,0.464,212,261,0.812,160,355,515,284,69,29,221,1130,1,"",0
"51","laceysa01",1974,"Sam Lacey",25,"KCO","C",79,3107,467,982,0.476,185,247,0.749,293,762,1055,299,126,184,254,1119,0,"",0
"52","hairsha01",1974,"Happy Hairston",31,"LAL","PF",77,2634,385,759,0.507,343,445,0.771,335,705,1040,208,64,17,264,1113,0,"",0
"53","sloanje01",1974,"Jerry Sloan",31,"CHI","SG",77,2860,412,921,0.447,194,273,0.711,150,406,556,149,183,10,273,1018,0,"DEF1",0
"54","smithel01",1974,"Elmore Smith",24,"LAL","C",81,2922,434,949,0.457,147,249,0.59,204,702,906,150,71,393,309,1015,6,"",0
"55","bellawa01",1974,"Walt Bellamy",34,"ATL","C",77,2440,389,801,0.486,233,383,0.608,264,476,740,189,52,48,232,1011,0,"",0
"56","kojisdo01",1974,"Don Kojis",35,"KCO","SF",77,2091,400,836,0.478,210,272,0.772,126,257,383,110,77,15,157,1010,0,"",0
"57","hawkico01",1974,"Connie Hawkins",31,"2TM","SF",79,2761,404,807,0.501,191,251,0.761,176,389,565,407,113,81,223,999,1,"",0
"58","erickke01",1974,"Keith Erickson",29,"PHO","SF",66,2033,393,824,0.477,177,221,0.801,94,320,414,205,63,20,193,963,0,"",0
"59","davisdw01",1974,"Dwight Davis",24,"CLE","PF",76,2477,376,862,0.436,197,274,0.719,174,470,644,186,63,74,291,949,0,"",0
"60","silaspa01",1974,"Paul Silas",30,"BOS","PF",82,2599,340,772,0.44,264,337,0.783,334,581,915,186,63,20,246,944,0,"",0
"61","nelsodo01",1974,"Don Nelson",33,"BOS","SF",82,1748,364,717,0.508,215,273,0.788,90,255,345,162,19,13,189,943,0,"",0
"62","roberri01",1974,"Rick Roberson",26,"POR","C",69,2060,364,797,0.457,205,316,0.649,251,450,701,133,65,55,252,933,0,"",0
"63","jacksph01",1974,"Phil Jackson",28,"NYK","PF",82,2050,361,757,0.477,191,246,0.776,123,355,478,134,42,67,277,913,0,"",0
