"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"1","mcadobo01",1975,"Bob McAdoo",23,"BUF","C",82,NA,3539,1095,2138,0.512,641,796,0.805,307,848,1155,179,92,174,278,2831,0,"MVP-1,AS,NBA1"
"2","barryri01",1975,"Rick Barry",30,"GSW","SF",80,NA,3235,1028,2217,0.464,394,436,0.904,92,364,456,492,228,33,225,2450,1,"MVP-4,AS,NBA1"
"3","architi01",1975,"Tiny Archibald",26,"KCO","PG",82,NA,3244,759,1664,0.456,652,748,0.872,48,174,222,557,119,7,187,2170,0,"MVP-6,AS,NBA1"
"4","abdulka01",1975,"Kareem Abdul-Jabbar",27,"MIL","C",65,NA,2747,812,1584,0.513,325,426,0.763,194,718,912,264,65,212,205,1949,1,"MVP-5,AS"
"5","hayesel01",1975,"Elvin Hayes",29,"WSB","PF",82,NA,3465,739,1668,0.443,409,534,0.766,221,783,1004,206,158,187,238,1887,0,"MVP-3,AS,NBA1"
"6","laniebo01",1975,"Bob Lanier",26,"DET","C",76,NA,2987,731,1433,0.51,361,450,0.802,225,689,914,350,75,172,237,1823,0,"MVP-13,AS"
"7","wickssi01",1975,"Sidney Wicks",25,"POR","PF",82,NA,3162,692,1391,0.497,394,558,0.706,231,646,877,287,108,80,289,1778,0,"MVP-12,AS"
"8","brownfr01",1975,"Fred Brown",26,"SEA","SG",81,NA,2669,737,1537,0.48,226,272,0.831,113,230,343,284,187,14,227,1700,0,"MVP-21"
"9","maravpe01",1975,"Pete Maravich",27,"NOJ","SG",79,NA,2853,655,1562,0.419,390,481,0.811,93,329,422,488,120,18,227,1700,5,""
"10","cartefr01",1975,"Fred Carter",29,"PHI","PG",77,75,3046,715,1598,0.447,256,347,0.738,73,267,340,336,82,20,257,1686,0,""
"11","cheniph01",1975,"Phil Chenier",24,"WSB","SG",77,NA,2869,690,1533,0.45,301,365,0.825,74,218,292,248,176,58,158,1681,0,"MVP-8,AS,NBA2"
"12","scottch01",1975,"Charlie Scott",26,"PHO","PG",69,NA,2592,703,1594,0.441,274,351,0.781,72,201,273,311,111,24,296,1680,0,"AS"
"13","tomjaru01",1975,"Rudy Tomjanovich",26,"HOU","PF",81,NA,3134,694,1323,0.525,289,366,0.79,184,429,613,236,76,24,230,1677,0,"MVP-21,AS"
"14","fraziwa01",1975,"Walt Frazier",29,"NYK","PG",78,78,3204,672,1391,0.483,331,400,0.828,90,375,465,474,190,14,205,1675,2,"MVP-15,AS,NBA1"
"15","monroea01",1975,"Earl Monroe",30,"NYK","SG",78,77,2814,668,1462,0.457,297,359,0.827,56,271,327,270,108,29,200,1633,0,"MVP-16,AS"
"16","goodrga01",1975,"Gail Goodrich",31,"LAL","SG",72,NA,2668,656,1429,0.459,318,378,0.841,96,123,219,420,102,6,214,1630,0,"AS"
"17","dandrbo01",1975,"Bob Dandridge",27,"MIL","SF",80,NA,3031,691,1460,0.473,211,262,0.805,142,409,551,243,122,48,330,1593,0,"AS"
"18","havlijo01",1975,"John Havlicek",34,"BOS","SF",82,NA,3132,642,1411,0.455,289,332,0.87,154,330,484,432,110,16,231,1573,0,"MVP-7,AS,NBA2"
"19","cunnibi01",1975,"Billy Cunningham",31,"PHI","SF",80,73,2859,609,1423,0.428,345,444,0.777,130,596,726,442,91,35,270,1563,4,""
"20","haywosp01",1975,"Spencer Haywood",25,"SEA","PF",68,NA,2529,608,1325,0.459,309,381,0.811,198,432,630,137,54,108,173,1525,0,"MVP-13,AS,NBA2"
"21","vanarto01",1975,"Tom Van Arsdale",31,"2TM","SF",82,6,2843,593,1385,0.428,322,424,0.759,77,201,278,223,91,3,257,1508,0,""
"22","whitejo01",1975,"Jo Jo White",28,"BOS","PG",82,NA,3220,658,1440,0.457,186,223,0.834,84,227,311,458,128,17,207,1502,0,"AS,NBA2"
"23","bingda01",1975,"Dave Bing",31,"DET","PG",79,NA,3222,578,1333,0.434,343,424,0.809,86,200,286,610,116,26,222,1499,2,"AS"
"24","petrige01",1975,"Geoff Petrie",26,"POR","PG",80,NA,3109,602,1319,0.456,261,311,0.839,38,171,209,424,81,13,215,1465,0,""
"25","walkech01",1975,"Chet Walker",34,"CHI","SF",76,76,2452,524,1076,0.487,413,480,0.86,114,318,432,169,49,6,181,1461,0,"MVP-16"
"26","smithra01",1975,"Randy Smith",26,"BUF","SG",82,NA,3001,610,1261,0.484,236,295,0.8,95,249,344,534,137,3,247,1456,0,""
"27","murphca01",1975,"Calvin Murphy",26,"HOU","PG",78,NA,2513,557,1152,0.484,341,386,0.883,52,121,173,381,128,4,281,1455,0,""
"28","collido01",1975,"Doug Collins",23,"PHI","SG",81,76,2820,561,1150,0.488,331,392,0.844,104,211,315,213,108,17,291,1453,0,""
"29","drewjo01",1975,"John Drew",20,"ATL","PF",78,NA,2289,527,1230,0.428,388,544,0.713,357,479,836,138,119,39,274,1442,0,"ROY-2"
"30","walkeji01",1975,"Jimmy Walker",30,"KCO","SG",81,NA,3122,553,1164,0.475,247,289,0.855,51,188,239,226,85,13,222,1353,0,""
"31","lovebo01",1975,"Bob Love",32,"CHI","PF",61,57,2401,539,1256,0.429,264,318,0.83,99,286,385,102,63,12,209,1342,0,"MVP-19"
"32","cowenda01",1975,"Dave Cowens",26,"BOS","C",65,NA,2632,569,1199,0.475,191,244,0.783,229,729,958,296,87,73,243,1329,1,"MVP-2,AS,NBA2"
"33","smithbi02",1975,"Bingo Smith",28,"CLE","SF",82,NA,2636,585,1212,0.483,132,160,0.825,108,299,407,229,80,26,227,1302,0,""
"34","johnsjo01",1975,"John Johnson",27,"POR","SF",80,NA,2540,527,1082,0.487,236,301,0.784,162,339,501,240,75,39,249,1290,1,""
"35","allenlu01",1975,"Lucius Allen",27,"2TM","PG",66,NA,2353,511,1170,0.437,238,306,0.778,90,188,278,372,136,29,217,1260,0,""
"36","wilkeja01",1975,"Jamaal Wilkes",21,"GSW","SF",82,NA,2515,502,1135,0.442,160,218,0.734,203,468,671,183,107,22,222,1164,0,"ROY-1"
"37","snydedi01",1975,"Dick Snyder",30,"CLE","SG",82,NA,2590,498,988,0.504,165,195,0.846,37,201,238,281,69,43,226,1161,0,""
"38","riordmi01",1975,"Mike Riordan",29,"WSB","SF",74,NA,2191,520,1057,0.492,98,117,0.838,90,194,284,198,72,6,238,1138,0,""
"39","newlimi01",1975,"Mike Newlin",26,"HOU","SG",79,NA,2709,436,905,0.482,265,305,0.869,55,205,260,403,111,7,288,1137,0,""
"40","willina01",1975,"Nate Williams",24,"2TM","SG",85,NA,1945,474,988,0.48,181,220,0.823,102,235,337,145,97,30,251,1129,0,""
"41","vanardi01",1975,"Dick Van Arsdale",31,"PHO","SG",70,NA,2419,421,895,0.47,282,339,0.832,52,137,189,195,81,11,177,1124,0,""
"42","nelsodo01",1975,"Don Nelson",34,"BOS","SF",79,NA,2052,423,785,0.539,263,318,0.827,127,342,469,181,32,15,239,1109,0,""
"43","clarkar01",1975,"Archie Clark",33,"SEA","PG",77,NA,2481,455,919,0.495,161,193,0.834,59,176,235,433,110,5,188,1071,0,""
"44","perrycu01",1975,"Curtis Perry",26,"PHO","PF",79,NA,2688,437,917,0.477,184,256,0.719,347,593,940,186,108,78,288,1058,0,""
"45","vanlino01",1975,"Norm Van Lier",27,"CHI","PG",70,69,2590,407,970,0.42,236,298,0.792,86,242,328,403,139,14,246,1050,0,"MVP-11"
"46","beardbu01",1975,"Butch Beard",27,"GSW","PG",82,NA,2521,408,773,0.528,232,279,0.832,116,200,316,345,132,11,297,1048,0,""
"47","bradlbi01",1975,"Bill Bradley",31,"NYK","SF",79,79,2787,452,1036,0.436,144,165,0.873,65,186,251,247,74,18,283,1048,0,""
"48","choneji01",1975,"Jim Chones",25,"CLE","C",72,NA,2427,446,916,0.487,152,224,0.679,156,521,677,132,49,120,247,1044,0,"MVP-20"
"49","bantomi01",1975,"Mike Bantom",23,"PHO","SF",82,NA,2239,418,907,0.461,185,259,0.714,211,342,553,159,62,47,273,1021,0,"MVP-16"
"50","rowecu01",1975,"Curtis Rowe",25,"DET","PF",82,NA,2787,422,874,0.483,171,227,0.753,174,411,585,121,50,44,190,1015,0,""
"51","nealll01",1975,"Lloyd Neal",24,"POR","PF",82,NA,2278,409,869,0.471,189,295,0.641,186,501,687,139,43,87,239,1007,0,""
"52","marinja01",1975,"Jack Marin",30,"BUF","SF",81,NA,2147,380,836,0.455,193,222,0.869,104,259,363,133,51,16,238,953,0,""
"53","sloanje01",1975,"Jerry Sloan",32,"CHI","SG",78,76,2577,380,865,0.439,193,258,0.748,177,361,538,161,171,17,265,953,0,""
"54","porteke01",1975,"Kevin Porter",24,"WSB","PG",81,NA,2589,406,827,0.491,131,186,0.704,55,97,152,650,152,11,320,943,0,""
"55","ratleed01",1975,"Ed Ratleff",24,"HOU","SF",80,NA,2563,392,851,0.461,157,190,0.826,185,274,459,259,146,51,231,941,0,""
"56","laceysa01",1975,"Sam Lacey",26,"KCO","C",81,NA,3378,392,917,0.427,144,191,0.754,228,921,1149,428,139,168,274,928,2,"MVP-10,AS"
"57","hendeto01",1975,"Tom Henderson",23,"ATL","PG",79,NA,2131,367,893,0.411,168,241,0.697,51,161,212,314,105,7,149,902,0,""
"58","wedmasc01",1975,"Scott Wedman",22,"KCO","SF",80,NA,2554,375,806,0.465,139,170,0.818,202,288,490,129,81,27,270,889,0,"ROY-3"
"59","mcmilji01",1975,"Jim McMillian",26,"BUF","SF",62,NA,2132,347,695,0.499,194,231,0.84,127,258,385,156,69,15,129,888,0,""
"60","jamesaa01",1975,"Aaron James",22,"NOJ","SF",76,NA,1731,370,776,0.477,147,189,0.778,140,226,366,66,41,15,217,887,0,""
"61","mengejo01",1975,"John Mengelt",25,"DET","SG",80,NA,1995,336,701,0.479,211,248,0.851,38,153,191,201,72,4,198,883,0,""
"62","cleamji01",1975,"Jim Cleamons",25,"CLE","PG",74,NA,2691,369,768,0.48,144,181,0.796,97,232,329,381,84,21,194,882,0,""
"63","silaspa01",1975,"Paul Silas",31,"BOS","PF",82,NA,2661,312,749,0.417,244,344,0.709,348,677,1025,224,60,22,229,868,0,"AS"
"64","behagro01",1975,"Ron Behagen",24,"KCO","PF",81,NA,2205,333,834,0.399,199,264,0.754,146,446,592,153,60,42,301,865,0,""
"65","johnsch01",1975,"Charles Johnson",25,"GSW","SG",79,NA,2171,394,957,0.412,75,102,0.735,134,177,311,233,138,8,204,863,0,""
"66","grayle01",1975,"Leonard Gray",23,"SEA","PF",75,NA,2280,378,773,0.489,104,144,0.722,133,345,478,163,63,24,292,860,0,"ROY-4"
"67","sojoumi01",1975,"Mike Sojourner",21,"ATL","C",73,NA,2129,378,775,0.488,95,146,0.651,196,446,642,93,35,57,217,851,0,"ROY-5"
"68","jacksph01",1975,"Phil Jackson",29,"NYK","PF",78,61,2285,324,712,0.455,193,253,0.763,137,463,600,136,84,53,330,841,0,""
"69","burleto01",1975,"Tom Burleson",22,"SEA","C",82,NA,1888,322,772,0.417,182,265,0.687,155,417,572,115,64,153,221,826,0,""
"70","gianejo01",1975,"John Gianelli",24,"NYK","C",80,79,2797,343,726,0.472,135,195,0.692,214,475,689,163,38,118,263,821,0,""
"71","brownjo01",1975,"John Brown",23,"ATL","SF",73,NA,1986,315,684,0.461,185,250,0.74,180,254,434,133,54,15,228,815,0,""
"72","awtrede01",1975,"Dennis Awtrey",26,"PHO","C",82,NA,2837,339,722,0.47,132,195,0.677,242,462,704,342,60,52,227,810,0,""
"73","kunneke01",1975,"Kevin Kunnert",23,"HOU","C",75,NA,1801,346,676,0.512,116,169,0.686,214,417,631,108,34,84,223,808,0,""
"74","nelsolo01",1975,"Louie Nelson",23,"NOJ","PG",72,NA,1898,307,679,0.452,192,250,0.768,75,121,196,178,65,6,186,806,0,""
"75","smithel01",1975,"Elmore Smith",25,"LAL","C",74,NA,2341,346,702,0.493,112,231,0.485,210,600,810,145,84,216,255,804,0,""
"76","westppa01",1975,"Paul Westphal",24,"BOS","SG",82,NA,1581,342,670,0.51,119,156,0.763,44,119,163,235,78,33,192,803,0,""
"77","priceji01",1975,"Jim Price",25,"2TM","PG",50,NA,1870,317,717,0.442,169,194,0.871,62,136,198,286,111,24,182,803,0,"AS"
"78","wintebr01",1975,"Brian Winters",22,"LAL","SG",68,NA,1516,359,810,0.443,76,92,0.826,39,99,138,195,74,18,168,794,0,""
"79","mcneila01",1975,"Larry McNeill",24,"KCO","PF",80,NA,1749,296,645,0.459,189,241,0.784,149,348,497,73,69,27,229,781,0,""
"80","thompge01",1975,"George Thompson",27,"MIL","SG",73,NA,1983,306,691,0.443,168,214,0.785,50,131,181,225,66,6,203,780,0,""
"81","jonesdw01",1975,"Dwight Jones",22,"ATL","C",75,NA,2086,323,752,0.43,132,183,0.721,236,461,697,152,51,51,226,778,0,""
"82","chanedo01",1975,"Don Chaney",28,"BOS","SG",82,NA,2208,321,750,0.428,133,165,0.806,171,199,370,181,122,66,244,775,0,""
"83","raycl01",1975,"Clifford Ray",26,"GSW","C",82,NA,2519,299,573,0.522,171,284,0.602,259,611,870,178,95,116,305,769,0,""
"84","barneji02",1975,"Jim Barnett",30,"2TM","SG",73,4,1776,285,652,0.437,199,238,0.836,60,119,179,176,47,16,160,769,0,""
"85","davisdw01",1975,"Dwight Davis",25,"CLE","PF",78,NA,1964,295,666,0.443,176,245,0.718,108,356,464,150,45,39,254,766,0,""
"86","hairsha01",1975,"Happy Hairston",32,"LAL","PF",74,NA,2283,271,536,0.506,217,271,0.801,304,642,946,173,52,11,218,759,0,""
"87","heardga01",1975,"Gar Heard",26,"BUF","PF",67,NA,2148,318,819,0.388,106,188,0.564,185,481,666,190,106,120,242,742,0,""
"88","gillihe01",1975,"Herm Gilliam",28,"ATL","SG",60,NA,1393,314,736,0.427,94,113,0.832,76,128,204,170,77,13,124,722,0,""
"89","stallbu01",1975,"Bud Stallworth",25,"NOJ","SF",73,NA,1668,298,710,0.42,125,182,0.687,78,168,246,46,59,11,208,721,0,""
"90","mixst01",1975,"Steve Mix",27,"PHI","PF",46,46,1748,280,582,0.481,159,205,0.776,155,345,500,99,79,21,175,719,0,"AS"
"91","mcglojo01",1975,"Jon McGlocklin",31,"MIL","SG",79,NA,1853,323,651,0.496,63,72,0.875,25,94,119,255,51,6,142,709,0,""
"92","breweji01",1975,"Jim Brewer",23,"CLE","PF",82,NA,1991,291,639,0.455,103,159,0.648,205,304,509,128,77,43,150,685,0,""
"93","bibbyhe01",1975,"Henry Bibby",25,"2TM","PG",75,5,1400,270,619,0.436,137,189,0.725,47,90,137,181,54,3,157,677,0,""
"94","foxji01",1975,"Jim Fox",31,"SEA","C",75,NA,1766,253,540,0.469,170,212,0.802,128,363,491,137,48,17,168,676,0,""
"95","trappge01",1975,"George Trapp",26,"DET","PF",78,NA,1472,288,652,0.442,99,131,0.756,71,205,276,63,37,14,210,675,0,""
