"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Awards"
"1","mcadobo01",1976,"Bob McAdoo",24,"BUF","C",78,3328,934,1918,0.487,934,1918,0.487,0.487,559,734,0.762,241,724,965,315,93,160,298,2427,"MVP-2,AS"
"2","abdulka01",1976,"Kareem Abdul-Jabbar",28,"LAL","C",82,3379,914,1728,0.529,914,1728,0.529,0.529,447,636,0.703,272,1111,1383,413,119,338,292,2275,"MVP-1,AS,NBA1"
"3","architi01",1976,"Tiny Archibald",27,"KCK","PG",78,3184,717,1583,0.453,717,1583,0.453,0.453,501,625,0.802,67,146,213,615,126,15,169,1935,"MVP-9,AS,NBA1"
"4","smithra01",1976,"Randy Smith",27,"BUF","SG",82,3167,702,1422,0.494,702,1422,0.494,0.494,383,469,0.817,104,313,417,484,153,4,274,1787,"MVP-24,AS,NBA2"
"5","mcginge01",1976,"George McGinnis",25,"PHI","PF",77,2946,647,1552,0.417,647,1552,0.417,0.417,475,642,0.74,260,707,967,359,198,41,334,1769,"MVP-5,AS,NBA1"
"6","brownfr01",1976,"Fred Brown",27,"SEA","SG",76,2516,742,1522,0.488,742,1522,0.488,0.488,273,314,0.869,111,206,317,207,143,18,186,1757,"MVP-13,AS"
"7","murphca01",1976,"Calvin Murphy",27,"HOU","PG",82,2995,675,1369,0.493,675,1369,0.493,0.493,372,410,0.907,52,157,209,596,151,6,294,1722,""
"8","barryri01",1976,"Rick Barry",31,"GSW","SF",81,3122,707,1624,0.435,707,1624,0.435,0.435,287,311,0.923,74,422,496,496,202,27,215,1701,"MVP-4,AS,NBA1"
"9","westppa01",1976,"Paul Westphal",25,"PHO","PG",82,2960,657,1329,0.494,657,1329,0.494,0.494,365,440,0.83,74,185,259,440,210,38,218,1679,"MVP-24"
"10","drewjo01",1976,"John Drew",21,"ATL","SF",77,2351,586,1168,0.502,586,1168,0.502,0.502,488,656,0.744,286,374,660,150,138,30,261,1660,"MVP-20,AS"
"11","smithph01",1976,"Phil Smith",23,"GSW","SG",82,2793,659,1383,0.477,659,1383,0.477,0.477,323,410,0.788,133,243,376,362,108,18,223,1641,"MVP-7,AS,NBA2"
"12","maravpe01",1976,"Pete Maravich",28,"NOJ","SG",62,2373,604,1316,0.459,604,1316,0.459,0.459,396,488,0.811,46,254,300,332,87,23,197,1604,"MVP-15,NBA1"
"13","collido01",1976,"Doug Collins",24,"PHI","SG",77,2995,614,1196,0.513,614,1196,0.513,0.513,372,445,0.836,126,181,307,191,110,24,249,1600,"MVP-20,AS"
"14","cheniph01",1976,"Phil Chenier",25,"WSB","SG",80,2952,654,1355,0.483,654,1355,0.483,0.483,282,341,0.827,84,236,320,255,158,45,186,1590,"MVP-17"
"15","hayesel01",1976,"Elvin Hayes",30,"WSB","PF",80,2975,649,1381,0.47,649,1381,0.47,0.47,287,457,0.628,210,668,878,121,104,202,293,1585,"MVP-8,AS,NBA2"
"16","monroea01",1976,"Earl Monroe",31,"NYK","SG",76,2889,647,1354,0.478,647,1354,0.478,0.478,280,356,0.787,48,225,273,304,111,22,209,1574,"MVP-12"
"17","dandrbo01",1976,"Bob Dandridge",28,"MIL","SF",73,2735,650,1296,0.502,650,1296,0.502,0.502,271,329,0.824,171,369,540,206,111,38,263,1571,"MVP-24,AS"
"18","whitejo01",1976,"Jo Jo White",29,"BOS","PG",82,3257,670,1492,0.449,670,1492,0.449,0.449,212,253,0.838,61,252,313,445,107,20,183,1552,"MVP-20,AS"
