"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","gervige01",1978,"George Gervin",25,"SAS","SG",82,NA,2857,864,1611,0.536,864,1611,0.536,0.536,504,607,0.83,118,302,420,302,136,110,306,255,2232,"MVP-2,AS,NBA1"
"2","thompda01",1978,"David Thompson",23,"DEN","SG",80,NA,3025,826,1584,0.521,826,1584,0.521,0.521,520,668,0.778,156,234,390,362,92,99,245,213,2172,"MVP-3,AS,NBA1"
"3","mcadobo01",1978,"Bob McAdoo",26,"NYK","C",79,NA,3182,814,1564,0.52,814,1564,0.52,0.52,469,645,0.727,236,774,1010,298,105,126,346,297,2097,"MVP-10,AS"
"4","smithra01",1978,"Randy Smith",29,"BUF","SG",82,NA,3314,789,1697,0.465,789,1697,0.465,0.465,443,554,0.8,110,200,310,458,172,11,286,224,2021,"AS"
"5","westppa01",1978,"Paul Westphal",27,"PHO","SG",80,NA,2481,809,1568,0.516,809,1568,0.516,0.516,396,487,0.813,41,123,164,437,138,31,280,162,2014,"MVP-6,AS,NBA2"
"6","daviswa03",1978,"Walter Davis",23,"PHO","SF",81,NA,2590,786,1494,0.526,786,1494,0.526,0.526,387,466,0.83,158,326,484,273,113,20,283,242,1959,"MVP-5,ROY-1,AS,NBA2"
"7","murphca01",1978,"Calvin Murphy",29,"HOU","SG",76,NA,2900,852,1737,0.491,852,1737,0.491,0.491,245,267,0.918,57,107,164,259,112,3,173,241,1949,""
"8","kingbe01",1978,"Bernard King",21,"NJN","SF",79,NA,3092,798,1665,0.479,798,1665,0.479,0.479,313,462,0.677,265,486,751,193,122,36,311,302,1909,"ROY-3"
"9","barryri01",1978,"Rick Barry",33,"GSW","SF",82,NA,3024,760,1686,0.451,760,1686,0.451,0.451,378,409,0.924,75,374,449,446,158,45,224,188,1898,"AS"
"10","gilmoar01",1978,"Artis Gilmore",28,"CHI","C",82,NA,3067,704,1260,0.559,704,1260,0.559,0.559,471,669,0.704,318,753,1071,263,42,181,366,261,1879,"MVP-8,AS"
"11","robintr01",1978,"Truck Robinson",26,"NOJ","PF",82,NA,3638,748,1683,0.444,748,1683,0.444,0.444,366,572,0.64,298,990,1288,171,73,79,301,265,1862,"MVP-8,AS,NBA1"
"12","willijo01",1978,"John Williamson",26,"2TM","SG",75,NA,2731,723,1649,0.438,723,1649,0.438,0.438,331,391,0.847,66,161,227,214,94,10,228,236,1777,""
"13","isselda01",1978,"Dan Issel",29,"DEN","C",82,NA,2851,659,1287,0.512,659,1287,0.512,0.512,428,547,0.782,253,577,830,304,100,41,259,279,1746,""
"14","dantlad01",1978,"Adrian Dantley",22,"2TM","SF",79,NA,2933,578,1128,0.512,578,1128,0.512,0.512,541,680,0.796,265,355,620,253,118,24,228,233,1697,""
"15","kenonla01",1978,"Larry Kenon",25,"SAS","SF",81,NA,2869,698,1426,0.489,698,1426,0.489,0.489,276,323,0.854,245,528,773,268,115,24,279,209,1672,"AS"
"16","drewjo01",1978,"John Drew",23,"ATL","SF",70,NA,2203,593,1236,0.48,593,1236,0.48,0.48,437,575,0.76,213,298,511,141,119,27,210,247,1623,""
"17","smithph01",1978,"Phil Smith",25,"GSW","SG",82,NA,2940,648,1373,0.472,648,1373,0.472,0.472,316,389,0.812,100,200,300,393,108,27,266,219,1612,""
