"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"1","stackje01",2001,"Jerry Stackhouse",26,"DET","SG",80,80,3215,774,1927,0.402,166,473,0.351,608,1454,0.418,0.445,666,810,0.822,99,216,315,410,97,54,326,160,2380,"MVP-14,AS"
"2","iversal01",2001,"Allen Iverson",25,"PHI","SG",71,71,2979,762,1813,0.42,98,306,0.32,664,1507,0.441,0.447,585,719,0.814,50,223,273,325,178,20,237,147,2207,"MVP-1,DPOY-11,AS,NBA1"
"3","onealsh01",2001,"Shaquille O'Neal",28,"LAL","C",74,74,2924,813,1422,0.572,0,2,0,813,1420,0.573,0.572,499,972,0.513,291,649,940,277,47,204,218,256,2125,"MVP-3,DPOY-8,AS,NBA1"
"4","piercpa01",2001,"Paul Pierce",23,"BOS","SF",82,82,3120,687,1513,0.454,147,384,0.383,540,1129,0.478,0.503,550,738,0.745,94,428,522,253,138,69,262,251,2071,"MVP-13"
"5","cartevi01",2001,"Vince Carter",24,"TOR","SF",75,75,2979,762,1656,0.46,162,397,0.408,600,1259,0.477,0.509,384,502,0.765,176,240,416,291,114,82,167,205,2070,"MVP-11,AS,NBA2"
"6","mcgratr01",2001,"Tracy McGrady",21,"ORL","SG",77,77,3087,788,1724,0.457,59,166,0.355,729,1558,0.468,0.474,430,587,0.733,192,388,580,352,116,118,198,160,2065,"MVP-6,MIP-1,AS,NBA2"
"7","jamisan01",2001,"Antawn Jamison",24,"GSW","SF",82,82,3394,800,1812,0.442,62,205,0.302,738,1607,0.459,0.459,382,534,0.715,280,435,715,164,114,28,199,225,2044,""
"8","bryanko01",2001,"Kobe Bryant",22,"LAL","SG",68,68,2783,701,1510,0.464,61,200,0.305,640,1310,0.489,0.484,475,557,0.853,104,295,399,338,114,43,220,222,1938,"MVP-9,DPOY-11,AS,NBA2"
"9","webbech01",2001,"Chris Webber",27,"SAC","PF",70,70,2836,786,1635,0.481,2,28,0.071,784,1607,0.488,0.481,324,461,0.703,179,598,777,294,93,118,195,226,1898,"MVP-4,AS,NBA1"
"10","walkean02",2001,"Antoine Walker",24,"BOS","PF",81,81,3396,711,1720,0.413,221,603,0.367,490,1117,0.439,0.478,249,348,0.716,151,568,719,445,138,49,301,251,1892,""
"11","malonka01",2001,"Karl Malone",37,"UTA","PF",81,81,2895,670,1345,0.498,2,5,0.4,668,1340,0.499,0.499,536,676,0.793,114,555,669,361,93,62,244,216,1878,"MVP-7,AS,NBA3"
"12","paytoga01",2001,"Gary Payton",32,"SEA","PG",79,79,3244,725,1591,0.456,102,272,0.375,623,1319,0.472,0.488,271,354,0.766,73,288,361,642,127,26,209,184,1823,"AS,NBA3"
"13","duncati01",2001,"Tim Duncan",24,"SAS","PF",82,82,3174,702,1406,0.499,7,27,0.259,695,1379,0.504,0.502,409,662,0.618,259,738,997,245,70,192,242,247,1820,"MVP-2,DPOY-3,AS,NBA1"
"14","allenra02",2001,"Ray Allen",25,"MIL","SG",82,82,3129,628,1309,0.48,202,467,0.433,426,842,0.506,0.557,348,392,0.888,101,327,428,374,124,20,204,192,1806,"MVP-11,AS,NBA3"
"15","garneke01",2001,"Kevin Garnett",24,"MIN","PF",81,81,3202,704,1475,0.477,19,66,0.288,685,1409,0.486,0.484,357,467,0.764,219,702,921,401,111,145,230,204,1784,"MVP-5,DPOY-2,AS,NBA2"
"16","nowitdi01",2001,"Dirk Nowitzki",22,"DAL","PF",82,82,3125,591,1247,0.474,151,390,0.387,440,857,0.513,0.534,451,538,0.838,119,635,754,173,79,101,156,245,1784,"NBA3"
"17","finlemi01",2001,"Michael Finley",27,"DAL","SF",82,82,3443,711,1552,0.458,91,263,0.346,620,1289,0.481,0.487,252,325,0.775,109,316,425,360,118,32,190,174,1765,"MVP-15,AS"
"18","robingl01",2001,"Glenn Robinson",28,"MIL","SF",76,74,2813,684,1460,0.468,55,184,0.299,629,1276,0.493,0.487,251,306,0.82,124,402,526,252,86,62,219,191,1674,"AS"
"19","abdursh01",2001,"Shareef Abdur-Rahim",24,"VAN","SF",81,81,3241,604,1280,0.472,12,64,0.188,592,1216,0.487,0.477,443,531,0.834,175,560,735,250,90,77,231,238,1663,""
"20","terryja01",2001,"Jason Terry",23,"ATL","SG",82,77,3089,596,1367,0.436,124,314,0.395,472,1053,0.448,0.481,303,358,0.846,42,227,269,403,104,12,239,204,1619,""
