"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd","Hex"
"1","2003-2004","LeBron James (jamesle01)",19,"CLE","SG",79,622,1492,0.417,559,1275,0.438,0.438,347,460,0.754,432,465,149,1654,"MVP-9,ROY-1",79,3122,63,217,0.29,99,333,130,58,273,-27.6401756205042,-12.401257748225,1.0808449725523,-91.4032795131309,450.821720379434,"#860038"
"2","2004-2005","LeBron James (jamesle01)",20,"CLE","SF",80,795,1684,0.472,687,1376,0.499,0.504,477,636,0.75,588,577,146,2175,"MVP-6,AS,NBA2",80,3388,108,308,0.351,111,477,177,52,262,40.0309663515402,-1.4025811912873,-3.87732272408142,71.976866405137,1157.33489604565,"#860038"
"3","2005-2006","LeBron James (jamesle01)",21,"CLE","SF",79,875,1823,0.48,748,1444,0.518,0.515,601,814,0.738,556,521,181,2478,"MVP-2,AS,NBA1",79,3361,127,379,0.335,75,481,123,66,260,57.8620661926943,-8.83216633174777,-5.96849459041728,83.259138799728,1390.09922242412,"#860038"
"4","2006-2007","LeBron James (jamesle01)",22,"CLE","SF",78,772,1621,0.476,673,1311,0.513,0.507,489,701,0.698,526,470,171,2132,"MVP-5,AS,NBA2",78,3190,99,310,0.319,83,443,125,55,250,36.2875741931724,-12.1452274908812,-37.9955353629831,-1.85606944928185,973.488182691787,"#860038"
"5","2007-2008","LeBron James (jamesle01)",23,"CLE","SF",75,794,1642,0.484,681,1283,0.531,0.518,549,771,0.712,592,539,165,2250,"MVP-4,AS,NBA1",74,3027,113,359,0.315,133,459,138,81,255,59.7924957584463,-16.8655208333333,-33.4034747975165,35.5849542193761,1314.99591233276,"#860038"
"6","2008-2009","LeBron James (jamesle01)",24,"CLE","SF",81,789,1613,0.489,657,1229,0.535,0.53,594,762,0.78,613,587,139,2304,"MVP-1,DPOY-2,AS,NBA1",81,3054,132,384,0.344,106,507,137,93,241,61.1352135028582,-8.74620442769667,7.04942966529189,103.081243387918,1501.12112217455,"#860038"
"7","2009-2010","LeBron James (jamesle01)",25,"CLE","SF",76,768,1528,0.503,639,1141,0.56,0.545,593,773,0.767,554,651,119,2258,"MVP-1,DPOY-4,AS,NBA1",76,2966,129,387,0.333,71,483,125,77,261,77.7672419372375,-8.35086365469947,6.28825392119516,136.770146831572,1525.00507684604,"#860038"
"8","2009-2010","Stephen Curry (curryst01)",21,"GSW","PG",80,528,1143,0.462,362,763,0.474,0.535,177,200,0.885,356,472,252,1399,"ROY-2",77,2896,166,380,0.437,48,308,152,19,243,-13.6141388272462,31.320185558693,25.2269738476572,91.959252869244,409.345059973277,"#1d428a"
"9","2010-2011","LeBron James (jamesle01)",26,"MIA","SF",79,758,1485,0.51,666,1206,0.552,0.541,503,663,0.759,590,554,163,2111,"MVP-3,DPOY-9,AS,NBA1",79,3063,92,279,0.33,80,510,124,50,284,78.2294270149283,-7.95017466657639,-2.962488462886,129.645841567241,1193.33860327147,"#98002e"
"10","2010-2011","Stephen Curry (curryst01)",22,"GSW","PG",74,505,1053,0.48,354,711,0.498,0.551,212,227,0.934,286,432,233,1373,"",74,2489,151,342,0.442,52,234,109,20,226,7.72633383715918,28.5586246022612,38.7106939953618,139.839235476464,586.537334506752,"#1d428a"
"11","2011-2012","LeBron James (jamesle01)",27,"MIA","SF",62,621,1169,0.531,567,1020,0.556,0.554,387,502,0.771,492,387,96,1683,"MVP-1,DPOY-4,AS,NBA1",62,2326,54,149,0.362,94,398,115,50,213,80.7345157414084,1.973252095068,9.28903184025906,176.67781960828,1117.14862041236,"#98002e"
"12","2011-2012","Stephen Curry (curryst01)",23,"GSW","PG",26,145,296,0.49,90,175,0.514,0.583,38,47,0.809,88,138,62,383,"",23,732,55,121,0.455,15,73,39,8,65,6.501510053673,12.855439620827,2.65569023205613,54.2250292018832,198.00039571075,"#1d428a"
"13","2012-2013","LeBron James (jamesle01)",28,"MIA","PF",76,765,1354,0.565,662,1100,0.602,0.603,403,535,0.753,610,551,110,2036,"MVP-1,DPOY-2,AS,NBA1",76,2877,103,254,0.406,97,513,129,67,226,130.891245689712,12.0003935027615,0.0720979040213926,297.855769791729,1474.92828483247,"#98002e"
"14","2012-2013","Stephen Curry (curryst01)",24,"GSW","PG",78,626,1388,0.451,354,788,0.449,0.549,262,291,0.9,314,539,198,1786,"MVP-11",78,2983,272,600,0.453,59,255,126,12,240,-26.798271269552,56.5473862269957,42.8162158692901,158.861832011173,871.842152761146,"#1d428a"
"15","2013-2014","LeBron James (jamesle01)",29,"MIA","PF",77,767,1353,0.567,651,1047,0.622,0.61,439,585,0.75,533,488,126,2089,"MVP-2,DPOY-6,AS,NBA1",77,2902,116,306,0.379,81,452,121,26,270,140.710878001032,5.91011960584438,-3.51076616863981,295.641348650957,1313.3109864508,"#98002e"
"16","2013-2014","Stephen Curry (curryst01)",25,"GSW","PG",78,652,1383,0.471,391,768,0.509,0.566,308,348,0.885,334,666,194,1873,"MVP-6,AS,NBA2",78,2846,261,615,0.424,46,288,128,14,294,16.4308560695248,39.5531815607657,44.8915442278861,196.412801049233,1138.68281395241,"#1d428a"
"17","2014-2015","Stephen Curry (curryst01)",26,"GSW","PG",80,653,1341,0.487,367,695,0.528,0.594,308,337,0.914,341,619,158,1900,"MVP-1,AS,NBA1",80,2613,286,646,0.443,56,285,163,16,249,29.7602831825464,60.0539816457188,55.1930418164348,294.875553118684,1433.26739581638,"#1d428a"
"18","2014-2015","LeBron James (jamesle01)",30,"CLE","SF",69,624,1279,0.488,504,940,0.536,0.535,375,528,0.71,416,511,135,1743,"MVP-3,DPOY-13,AS,NBA1",69,2493,120,339,0.354,51,365,109,49,272,47.7713182612858,1.34339594101964,-21.2374419018471,78.3353824437834,975.269100211192,"#860038"
"19","2015-2016","Stephen Curry (curryst01)",27,"GSW","PG",79,805,1598,0.504,403,712,0.566,0.63,363,400,0.908,430,527,161,2375,"MVP-1,AS,NBA1",79,2700,402,886,0.454,68,362,169,15,262,53.1714673637665,88.8791912494514,60.5046338025718,433.485142278459,1880.63368412149,"#1d428a"
"20","2015-2016","LeBron James (jamesle01)",31,"CLE","SF",76,737,1416,0.52,650,1134,0.573,0.551,359,491,0.731,565,514,143,1920,"MVP-3,DPOY-11,AS,NBA1",76,2709,87,282,0.309,111,454,104,49,249,92.6240168406056,-12.6011377738766,-12.6375620073431,134.807058352238,1134.07706171221,"#860038"
"21","2016-2017","Stephen Curry (curryst01)",28,"GSW","PG",79,675,1443,0.468,351,654,0.537,0.58,325,362,0.898,353,524,183,1999,"MVP-6,AS,NBA2",79,2638,324,789,0.411,61,292,142,17,239,22.0747859255496,42.1861392008672,45.6696856916718,216.377675145372,1261.50611175734,"#1d428a"
"22","2016-2017","LeBron James (jamesle01)",32,"CLE","SF",74,736,1344,0.548,612,1002,0.611,0.594,358,531,0.674,639,646,134,1954,"MVP-4,DPOY-5,AS,NBA1",74,2794,124,342,0.363,97,542,92,44,303,107.969002289603,1.8700071060793,-51.9533836953654,169.59464220208,1206.67070479654,"#860038"
"23","2017-2018","LeBron James (jamesle01)",33,"CLE","PF",82,857,1580,0.542,708,1174,0.603,0.59,388,531,0.731,709,747,136,2251,"MVP-2,AS,NBA1",82,3026,149,406,0.367,97,612,116,71,347,108.849042295664,2.13289430894309,-19.1431350210971,204.953632497059,1518.15474692053,"#860038"
"24","2017-2018","Stephen Curry (curryst01)",29,"GSW","PG",51,428,864,0.495,216,363,0.595,0.618,278,302,0.921,261,310,114,1346,"MVP-10,AS,NBA3",51,1631,212,501,0.423,36,225,80,8,153,30.7520497047069,30.6879705634987,46.4925672761369,200.060578376047,927.91005896989,"#1d428a"
"25","2018-2019","Stephen Curry (curryst01)",30,"GSW","PG",69,632,1340,0.472,278,530,0.525,0.604,263,287,0.916,369,361,166,1881,"MVP-5,AS,NBA1",69,2331,354,810,0.437,45,324,92,25,192,2.89602461695898,66.4036440527292,42.9621575108355,247.965138902941,1093.90738836011,"#1d428a"
"26","2018-2019","LeBron James (jamesle01)",34,"LAL","SF",55,558,1095,0.51,447,768,0.582,0.56,278,418,0.665,465,454,94,1505,"MVP-11,AS,NBA3",55,1937,111,327,0.339,57,408,72,33,197,47.9725035958952,-5.2386029564908,-42.3459378413616,37.8832604809565,872.204406113752,"#552583"
"27","2019-2020","LeBron James (jamesle01)",35,"LAL","PG",67,643,1303,0.493,495,878,0.564,0.55,264,381,0.693,525,684,118,1698,"MVP-2,AS,NBA1",67,2316,148,425,0.348,66,459,78,36,261,35.3074456949527,-4.22520068648619,-30.4259828984738,27.513306431973,1047.57708724713,"#552583"
"28","2019-2020","Stephen Curry (curryst01)",31,"GSW","PG",5,33,82,0.402,21,33,0.636,0.476,26,26,1,26,33,11,104,"",5,139,12,49,0.245,4,22,5,2,16,3.70304522543672,-5.53414078503017,5.90568620640337,-3.29064569781371,49.4317743844402,"#1d428a"
"29","2020-2021","Stephen Curry (curryst01)",32,"GSW","PG",63,658,1365,0.482,321,564,0.569,0.605,362,395,0.916,345,363,119,2015,"MVP-3,AS,NBA1",63,2152,337,801,0.421,29,316,77,8,213,21.8616530160725,43.6037884846703,54.6862352816378,229.220906767794,1251.95914867147,"#1d428a"
"30","2020-2021","LeBron James (jamesle01)",36,"LAL","PG",45,422,823,0.513,318,538,0.591,0.576,178,255,0.698,346,350,70,1126,"MVP-13,AS,NBA2",45,1504,104,285,0.365,29,317,48,25,168,32.68984631675,-0.445543423057387,-20.2862278561579,43.75683450817,605.710648280281,"#552583"
"31","2021-2022","LeBron James (jamesle01)",37,"LAL","C",56,640,1221,0.524,479,773,0.62,0.59,254,336,0.756,459,349,121,1695,"MVP-10,AS,NBA3",56,2084,161,448,0.359,63,396,73,59,196,67.5934280688548,2.42321742647484,-6.23858805154237,136.217920365592,975.006883764374,"#552583"
"32","2021-2022","Stephen Curry (curryst01)",33,"GSW","PG",64,535,1224,0.437,250,474,0.527,0.554,275,298,0.923,335,404,130,1630,"MVP-8,AS,NBA2",64,2211,285,750,0.38,34,301,85,23,206,-2.63402470292734,19.8067256023574,44.2329665495249,98.3850939507426,785.723944304571,"#1d428a"
"33","2022-2023","Stephen Curry (curryst01)",34,"GSW","PG",56,559,1133,0.493,286,494,0.579,0.614,257,281,0.915,341,352,117,1648,"MVP-9,CPOY-9,AS,NBA2",56,1941,273,639,0.427,39,302,52,20,179,15.3607513039818,42.3605031188736,37.4455402463676,195.248552210952,975.504430879718,"#1d428a"
"34","2022-2023","LeBron James (jamesle01)",38,"LAL","PF",55,609,1219,0.5,488,842,0.58,0.549,251,327,0.768,457,375,88,1590,"AS,NBA3",54,1954,121,377,0.321,65,392,50,32,178,27.0236854209568,-14.9699660785362,-4.49358483785696,4.64388776844805,795.088647527129,"#552583"
"35","2023-2024","Stephen Curry (curryst01)",35,"GSW","PG",74,650,1445,0.45,293,569,0.515,0.573,299,324,0.923,330,379,117,1956,"CPOY-1,AS,NBA3",74,2421,357,876,0.408,37,293,54,28,210,-17.2027840071932,37.0651825603613,44.951831555306,121.741811222003,876.402884656569,"#1d428a"
"36","2023-2024","LeBron James (jamesle01)",39,"LAL","PF",71,685,1269,0.54,536,906,0.592,0.599,303,404,0.75,518,589,78,1822,"CPOY-10,AS,NBA3",71,2504,149,363,0.41,61,457,89,38,245,42.3705723892495,16.0852023623415,-13.8409507767172,119.155801088806,993.586461332197,"#552583"
"37","2024-2025","LeBron James (jamesle01)",40,"LAL","SF",16,139,272,0.511,101,182,0.555,0.581,62,84,0.738,130,146,21,378,NA,16,566,38,90,0.422,12,118,12,7,61,2.95846561244038,5.74098617701671,-3.22812903225806,19.9117607236728,192.639747271763,"#552583"
"38","2024-2025","Stephen Curry (curryst01)",36,"GSW","PG",14,104,219,0.475,44,84,0.524,0.612,46,48,0.958,75,91,18,314,NA,14,416,60,135,0.444,6,69,22,8,50,-1.23855433271982,11.5814792655251,8.71535483870968,40.9826839698452,188.733823955455,"#1d428a"
